X,Z,NAME,ICON,GROUP,URL
75,-363,あくあマリン（シオン）号,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#ShipAquaMarine
106,-392,刃牙ハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aquaBakiHouse
235,-180,めるのすごいおうち,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%EB%B6%F5%A5%E1%A5%EB%A1%DAMinecraft%A1%DB#Mel1stHouse
192,-105,あんぽんたんハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#anpontanHouse
-71,-734,ペンギンハウス『ドン・ゴクーラ』,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#DonGokura
260,-372,勇者の間,normal,normal,
201,-80,ルーナ庭園（あんぽんたん拠点）,normal,normal,
-88,-728,スライムトラップ,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#SlimeTrap
638,-117,シオンの新居（氷の城）,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E7%BA%E9%A5%B7%A5%AA%A5%F3%A1%DAMinecraft%A1%DB#Shion2ndHouse
223,-502,ラミィの森,normal,normal,
177,-517,ねぽらぼビル,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#FifthGenBuilding
197,-406,ポルカストリート,normal,normal,
44,-563,アイアンゴーレムトラップ,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#GolemTrapPekora
322,-407,るしあの養蜂場,normal,normal,
-11,-725,大空建築旧事務所,normal,normal,
382,-303,占いの館（ちくわぶタワー）,normal,normal,https://seesaawiki.jp/hololivetv/d/%C2%E7%BF%C0%A5%DF%A5%AA%A1%DAMinecraft%A1%DB#MioTower
